date,post id,content/type,text,link post,likes,comments,shares,saved,impressions,reach,video_views,plays,replies,interactions,engagement_rate
2023-03-12,640dde2cb2f0025bea0b87b3,photo,"Jelang Ramadan akhir bulan ini, Kementerian Urusan Agama Islam Arab Saudi mengeluarkan aturan baru terkait pelaksanaan ibadah dan kegiatan yang biasa dilakukan unat muslim di bulan ini. Peraturan tersebut dikeluarkan pemerintah pada pekan lalu.

Namun ternyata, peraturan tersebut menuai kontroversi di kalangan publik. 

Bahkan, aturan itu juga disorot dan menimbulkan reaksi dari banyak Muslim di seluruh dunia.

Para kritikus menilai aturan tersebut seperti berupaya untuk membatasi pengaruh Islam dalam kehidupan publik. Hal ini kemudian erat dikait-kaitkan dengan kondisi Arab yang akhir-akhir ini gencar membuka diri, membuat sejumlah pagelaran musik dengan mengundang musisi asing.

Tercatat, ada 10 poin yang disampaikan oleh Kementerian Urusan Agama Islam Arab Saudi apa saja? 

Baca selengkapnya di www.cnbcindonesia.com atau klik link di Bio

#arab #ramadan #bulanpuasa",https://www.instagram.com/p/CpsQHRyJP7s/,2645,131,0,111,127601,124122,0,0,0,2887,2.33
2023-03-12,640dd01402a2d14ffb19f050,photo,"Berikut ini deretan saham Top Gainers & Top Loser selama sepekan

Gimana nih porto Sobat Cuan pekan ini Untung atau buntung nih?

#emiten #saham",https://www.instagram.com/p/CpsEcYNJW17/,196,3,0,19,18071,17331,0,0,0,218,1.26
2023-03-12,640db3eaab8a9f0eea097f75,photo,"Grup K-pop BLACKPINK menggelar konser di Stadion Utama Gelora Bung Karno Jakarta (GBK) dari tanggal 11-12 Maret 2023. Diperkirakan, konser ini menghabiskan dana hingga Rp 10 miliar hanya untuk sewa venue.

Pihak promotor telah menyewa area GBK sejak tanggal 2 Maret untuk persiapan, hingga 14 Maret. 

Dengan demikian, pihak penyelenggara menyewa stadion tersebut selama 13 hari. Adapun biaya sewa area yang tertera di situs reservation.gbk.id terbagi ke dalam 3 kategori.

Kategorinya antara lain untuk Reguler Event A, Reguler Event B, dan Reguler Event C. 

Jika dibuat hitungan sederhananya, maka biaya yang harus dikeluarkan promotor acara untuk menyewa venue tersebut ialah sebagai berikut.

(Jumlah hari weekend×850.000.000)+(Jumlah hari weekday×750.000.000)= (4×850.000.000)+(9×750.000.000)= 3.400.000.000+6.750.000.000= 10.150.000.000.

Dari hitungan tersebut, didapatkan total biayanya mencapai Rp 10,15 miliar untuk menyewa Stadion Utama GBK selama 13 hari demi keperluan konser BLACKPINK kali ini.

Baca berita menarik lainnya di www.cnbcindonesia.com atau klik link di bio

#blackpink #bornpinkjakarta #konserblackpink",https://www.instagram.com/p/Cpr8XobPAIV/,11155,402,0,446,284788,261635,0,0,0,12003,4.59
2023-03-12,640d89f39a2b956af947c9bb,photo,"Menteri Koordinator Bidang Politik, Hukum, dan Keamanan, Mahfud MD beberkan ada uang miliaran rupiah yang disimpan oleh Pejabat Pajak Rafael Alun Sambodo sampai dengan Rp 500 miliar. 

Mahfud menegaskan yang baru terbukti Rp 37 miliar yang ditemukan dalam sebuah deposit box.

Mahfud mengungkapkan bahwa dari Rp 500 miliar uang simpanan Rafael itu sebagian dalam deposit box yang terbagi dalam beragam deposit box. 

Mahfud mengatakan Rp 37 miliar sudah terbukti ada dalam deposit box milik Rafael, yang mana jumlah simpanan itu belum terhitung dari deposit box yang sudah dibuka terlebih dahulu sebelumnya.

Baca berita selengkapnya di www.cnbcindonesia.com atau klik link di Bio

#rafaelalun #depositbox #mahfudmd #pajak",https://www.instagram.com/p/Cprm7JQpIPS/,2866,114,0,150,139878,135407,0,0,0,3130,2.31
2023-03-12,640d7bad183e49190249543c,carousel,"Nilai tukar rupiah dan hampir seluruh mata uang utama dunia hancur pada pekan ini. Pernyataan hawkish Chairman bank sentral Amerika Serikat (AS) The Federal Reserve (The Fed) membuat Jerome Powell menjadi penyebabnya.

Bagaimana dengan pergerakan emas dalam sepekan? simak dalam infografis berikut ini

#emas #rupiah",https://www.instagram.com/p/Cprf6NhJWLe/,783,18,0,59,60338,55200,0,0,0,860,1.56
2023-03-12,640d5f8f02a2d14ffb19ee8c,photo,"Hari Jumat (10/3/2023) salah satu bank terbesar di Amerika Serikat (AS) yakni Silicon Valley Bank (SVB) mengalami keruntuhan spektakuler, yang mana kegagalan bank terbesar sejak krisis keuangan 2008.

Ceritanya, kejadian ambruknya bank besar AS ini diawali oleh panggilan telepon dari Moody's Investors Service Inc yang menyampaikan bakal menurunkan peringkat kredit bank SVB Financial Group (SIVB.O), induk dari Silicon Valley Bank.

Keruntuhan perusahaan pemberi pinjaman yang berfokus pada startup itu menyebabkan kegelisahan melalui pasar global dan menghajar keras saham perbankan.

Investor khawatir bahwa kenaikan suku bunga agresif Federal Reserve (The Fed) untuk melawan inflasi memperlihatkan kerentanan dalam sistem keuangan.

Kegagalan tersebut juga mengirimkan gelombang kejutan kepada ekonomi startup California. 

SVB kemudian menjalankan rencananya selama akhir pekan untuk meningkatkan nilai kepemilikannya. Itu akan menjual lebih dari US$ 20 miliar obligasi berimbal hasil rendah dan menginvestasikan kembali hasilnya dalam aset dengan pengembalian lebih tinggi.
Transaksi tersebut akan menghasilkan kerugian.

 Tetapi jika SVB dapat mengisi lubang pendanaan itu dengan menjual saham, itu akan menghindari penurunan peringkat multi-notch, kata sumber tersebut.

Baca berita selengkapnya di www.cnbcindonesia atau klik link di Bio 

#bankas #siliconvaleybank #svb",https://www.instagram.com/p/CprSU0TB8y9/,8605,169,0,945,266009,244655,0,0,0,9719,3.97
2023-03-12,640d3551be41fd646d7eae07,photo,"Warga di sekitar Gunung Merapi diharapkan tetap waspada. 

Balai Penyelidikan dan Pengembangan Teknologi Kebencanaan Geologi (BPPTKG) mengumumkan bahwa telah terjadi awan panas guguran di Gunung Merapi pada Minggu (12/3/2023) pukul 01.11 WIB dengan jarak luncur 1300 meter dan mengarah ke Barat Daya atau hulu Kali Bebeng.

Hal ini diumumkan BPPTKG dalam akun Twitter-nya lepas tengah malam tadi. Sebelumnya, awan panas juga berguguran pada pukul 23.01 WIB dengan jarak luncur 1800 meter ke arah Barat Daya.
Gunung Merapi di Jawa Tengah meletus kemarin siang. Gunung Merapi hingga saat ini mengeluarkan awan panas.

Sepanjang Sabtu kemarin, tercatat 21 kali awan panas guguran dengan jarak luncur maksimal kurang lebih 4 km ke arah barat daya yaitu di alur Kali Bebeng dan Krasak.

Baca berita menarik lainnya di www.cnbcindonesia.com

#merapi #awanpanas #erupsi #gunungmerapi",https://www.instagram.com/p/Cpq--0aJFiw/,1207,6,0,18,39108,38117,0,0,0,1231,3.23
2023-03-11,640c8ca3ad1d52492a05ab8e,photo,"Menteri Pertahanan Prabowo Subianto telah menyepakati pembelian kapal perang buatan Italia.

Hal ini tak terlepas dari upaya dia dalam memperkuat Alat Utama Sistem Persenjataan (Alutsista) dan militer Indonesia.

Seperti dikutip laman resminya, Fincantieri mengonfirmasi telah menandatangani kontrak kerja sama dengan Kementerian Pertahanan.

Fincantieri akan menjadi kontraktor untuk keseluruhan program.

Fincantieri mengklaim pesanan dari Kemhan RI merupakan keberhasilan bagi perseroan dan Italia yang telah memiliki 10 fregat kelas FREMM.

Kesepakatan tersebut juga sangat penting untuk memperkuat kerja sama antara kedua negara.

Nantinya perusahaan kapal dari Italia ini akan menyediakan enam Fregat baru kelas FREMM dan dua Fregat bekas kelas Maestrale serta dukungan logistik yang dibutuhkan.

Baca artikel lengkapnya di http://bit.ly/3LeJhHE

#kapalperang #prabowo",https://www.instagram.com/p/CpprUtsJ7dT/,3651,99,0,135,107523,106266,0,0,0,3885,3.66
2023-03-11,640c626ead1d52492a05aa8d,photo,"Menteri Keuangan (Menkeu) Sri Mulyani bersama dengan Menteri Koordinator Bidang Politik Hukum dan Keamanan (Menko Polhukam) Mahfud MD buka suara mengenai adanya transaksi gelap di tubuh Kementerian Keuangan (Kemenkeu) yang mencapai hingga Rp300 triliun.

Menkeu Sri Mulyani menyebutkan, terkait dengan adanya transaksi gelap senilai Rp 300 triliun itu, pihaknya belum mendapatkan informasi berkenaan dengan perhitungannya dan siapa saja yang terlibat.

""Di surat yang pak Ivan (Kepala PPATKA-Ivan Yustiavanda) sampaikan ke saya hari Kamis, surat tersebut menyangkut surat PPATK di kami. Di list tidak ada angka rupiahnya,"" ungkap Sri Mulyani dalam Konfrensi Pers, Sabtu (11/3/2023).

Maka dari itu, Sri Mulyani meminta supaya PPATK menyampaikan atas nilai transaksi Rp300 triliun tersebut kepada publik untuk bisa menjadi bukti hukum. ""Makin detail makin bagus biar pembersihan di Kemenkeu semakin cepat,"" ungkap Sri Mulyani.

Baca berita selengkapnya di www.cnbcindonesia atau klik link di bio

#srimulyani #mahfudmd #kemenkeu #menkeu",https://www.instagram.com/p/CppWutSJnJB/,1987,120,0,48,76098,76098,0,0,0,2155,2.83
2023-03-11,640c389ac799996b005db2a8,photo,"Serial dokumenter ""In the Name of God: A Holy Betrayal"" tengah ramai menjadi perbincangan. Dokumenter yang tayang di Netflix itu mencuri perhatian lantaran mengupas sejumlah sekte aliran sesat yang pernah menggemparkan Korea Selatan.

Berikut adalah sederet fakta sekte sesat tersebut yang dirangkum CNBC Indonesia:

1. Pendiri sekte mengklaim sebagai Mesias
Mantan pengikut Jeong Myeong-seok menyebutkan bahwa saat itu Jeong Myeong-seok mengklaim bahwa dia mampu meramalkan beberapa hal dan ramalannya terbukti menjadi kenyataan. Di dalam khotbahnya, Jeong Myeong-seok sering mengklaim bahwa dirinya adalah seorang messiah atau wakil Tuhan.

2. Memanfaatkan keterpurukan ekonomi untuk menyebarkan paham sesat

3. Ada manipulasi seksualitas
Dalam sekte tersebut, setelah Jeong menyampaikan khotbahnya, ia akan mengundang wanita muda yang terpilih untuk pertemuan doa pribadi yang berubah menjadi manipulasi seksual yang mengerikan. 

4. Pendiri sekte dipenjara 10 tahun
Jung Myung Seok sempat dipenjara 10 tahun karena kasus pemerkosaan dan kekerasan seksual terhadap empat wanita pengikutnya pada 2009. Dalam ajarannya, JMS mengatakan bahwa hubungan seksual dianggap sebagai pengampunan dosa.

5. Sekte masih aktif dan berkegiatan diam-diam
Disebutkan bahwa Jeong Myeong-seok dengan para pengikutnya masih aktif berkegiatan secara diam-diam.

6. Penayangan serial Netflix terganjal pengadilan
Penayangan serial dokumenter ini sempat mundur dari jadwal aslinya karena terganjal proses yang masih berlangsung di pengadilan.
Namun, pada akhirnya Netflix dan stasiun televisi Korea Selatan MBC berhasil memenangkan masalah hukum atas kasus dokumenter tersebut.�

7. Ada keluarga dari artis K-Pop yang diduga jadi jemaat sekte ini
Warganet menduga bahwa keluarga penyanyi Kyoungyoon dari grup K-pop DKZ diduga menjadi jemaat sekte aliran sesat JMS.
�
8. Ada 125 gereja JMS yang tersebar
Setelah film dokumenter Netflix rilis, ada berbagai postingan di media online yang mengungkap alamat gereja-gereja cabang JMS ini.�

Baca berita menarik lainnya di www.cnbcindonesia.com

#netflix #dokumenter #aliransesat #koreaselatan",https://www.instagram.com/p/CppCHvhp3lM/,5324,70,0,642,200587,187421,0,0,0,6036,3.22
2023-03-11,640c0e07ad1d52492a05a992,photo,"Media ekonomi terbesar dan terintegrasi, CNBC Indonesia, telah sukses menggelar bahasan seputar proyeksi kondisi ekonomi di berbagai sektor lewat rangkaian Economic Outlook 2023.

Setelah sukses menggelar Economic Outlook 2023, CNBC Indonesia akan menggelar event golf bertajuk CNBC Indonesia Golf Economic Outlook Edition yang akan diselenggarakan pada Sabtu, 18 Maret 2023 di Pondok Indah Golf.

Rangkaian kegiatan ini akan dihadiri oleh beberapa tokoh dan pelaku ekonomi penting.

Menarik bukan?

Yuk daftarkan diri Anda dan ikuti rangkaian acara CNBC Indonesia Golf Economic Outlook Edition.

Pantau terus website CNBC Indonesia untuk mengetahui informasi lebih lanjut terkait cara pendaftaran atau registrasi.",https://www.instagram.com/p/CposUzNv84n/,68,2,0,2,9526,9196,0,0,0,72,0.78
2023-03-11,640be3d2657a2577b40fe38e,photo,"Komedian Kiky Saputri baru-baru ini curhat melalui akun Twitter nya terkait fasilitas kesehatan di Indonesia. 

Dalam cuitannya, Kiky menceritakan pengalaman saat mertuanya didiagnosis stroke kuping oleh dokter di Indonesia.

""Mertua saya didiagnosa stroke kuping karena tiba-tiba pendengarannya terganggu. Disuntik dalemnya malah makin parah pendengarannya,"" tulis Kiky melalui akun @kikysaputrii, Selasa #kikysaputri 

Lantaran semakin parah, sang mertua akhirnya dibawa ke Singapura untuk menjalani perawatan. Namun, setelah berobat di sana, dokter mengatakan penyakit yang dialami oleh mertuanya hanya flu biasa yang membuat kuping jadi bindeng.

Ia pun kembali menjelaskan dalam serangkaian kicauan. Komedian itu menegaskan, kalimat ""mana ada stroke kuping"" adalah komentar dari dokter di Singapura, bukan dirinya.

Namun tak sedikit pula yang memuji Kiky untuk bersuara atas pengalaman dirinya yang mendapat diagnosis berbeda dari tenaga medis di Indonesia dan luar negeri.

""Harus berani selama kita benar, tidak mengada-ngada dan berharap ada perbaikan. Bukan begitu Pak Presidenku?"" tulis Kiky sambil menyebut akun Jokowi.

Lalu, benarkah ada kondisi medis yang disebut stroke kuping?

Mengutip Health Harvard, fungsi pendengaran setiap orang secara alami menurun seiring bertambahnya usia. Seringkali satu telinga memiliki fungsi pendengaran yang lebih baik dibanding kuping satunya. Namun jika gangguan pendengaran muncul tiba-tiba di salah satu telinga tanpa sebab yang jelas, Anda mungkin mengalami gangguan pendengaran sensorineural mendadak (SHL) atau semacam tuli saraf. Kondisi ini terkadang disebut stroke kuping oleh sejumlah tenaga kesehatan di Indonesia. 

SHL dapat mempengaruhi orang-orang dari segala usia, meskipun cenderung terjadi paling banyak di kelompok usia 50-an dan 60-an. Biasanya menyerang satu telinga saja.

Baca berita menarik lainnya di www.cnbcindonesia.com 

#strokekuping #pendengaran #kikysaputri",https://www.instagram.com/p/CpoY7aypEbY/,2418,226,0,154,148495,144304,0,0,0,2798,1.94
2023-03-10,640b4937313a19116c1af931,photo,"Menteri Koordinator Bidang Politik, Hukum dan HAM Mahfud MD mengemukakan bahwa temuan transaksi mencurigakan Rp 300 triliun erat kaitannya dengan tindak pencucian uang.

Menurut Menko Mahfud, dari laporan yang diterimanya, transaksi mencurigakan tersebut melibatkan 467 pegawai Kementerian Keuangan sejak tahun 2009 hingga 2023.

Hal inilah yang disampaikan oleh Mahfud kepada Wakil Menteri Keuangan Suahasil Nazara bersama Sekretaris Jenderal Heru Pambudi, Inspektur Awan Nurmawan, dan Staf Khusus Menteri Keuangan Yustinus Prastowo, yang mendatangani Kantor Menteri Koordinator Bidang Politik, Hukum dan Keamanan Mahfud MD, pukul 17.00 WIB, Jumat (10/3/2023).

""Saya mengungkapkan yang tekahir ada transaksi mencurigakan yang terjadi di Kemenkeu berdasarkan laporan atau info dari PPATK sejak tahun 2009 sampai 2023. Saya katakan transaksi mencurigakan sebagai tindakan atau tindak pidana pencucian uang,"" papar Mahfud dalam konferensi pers setelah pertemuan sore ini, Jumat (10/3/2023)

Saya yakin ibu Sri Mulyani dengan segala langkah-langkahnya dan laporan-laporannya di sidang kabinet,"" ungkapnya.

#mahfudMD #PPATK",https://www.instagram.com/p/CpnIQxzL1rm/,2272,119,0,62,78540,76916,0,0,0,2453,3.19
2023-03-10,640b10f22fdff820e12eed95,reels,"Perubahan ini memicu reaksi dari banyak Muslim di seluruh dunia.

Para kritikus melihat peraturan tersebut sebagai upaya lebih lanjut oleh pemerintah Arab Saudi untuk membatasi pengaruh Islam dalam kehidupan publik. 

Di sisi lain, Arab kini gencar membuka diri, membuat sejumlah pagelaran musik dengan mengundang musisi asing.

Juru bicara Kementerian, Abdullah Al-Enezi, menepis kekhawatiran tersebut, ia menyatakan bahwa semua hal ini dibuat agar pelaksanaan ibadah lebih teratur dan khusyuk di bawah tanggung jawab imam.

--",https://www.instagram.com/reel/CpmyA-ptiMb/,1041,22,92,76,0,49525,0,48815,0,1139,2.49
2023-03-10,640ae6bec072b65e642ccc07,reels,"Pemimpin China Xi Jinping kini menjadi presiden negeri itu untuk ketiga kalinya. Hal ini merupakan sejarah dalam politik China, di mana seorang bisa menjabat hingga periode ketiga. 

Hampir 3.000 anggota parlemen China memilihnya dengan suara bulat. Xi menjadi presiden dalam pemilihan di mana tidak ada kandidat lain.

Sementara itu, tokoh politik China Zhao Leji, 66, terpilih sebagai ketua parlemen yang baru. Han Zheng, 68, sebagai wakil presiden yang baru.

Di 2018, China menghapus pembatasan masa jabatan presiden presiden dan wakil presiden. Awalnya seseorang hanya bisa menjadi presiden dan wapres selama dua periode.

--",https://www.instagram.com/reel/CpmdWXcuxuO/,690,24,43,29,0,34159,0,34124,0,743,2.3
2023-03-10,640abc88245b7610b464cd40,photo,"Publik digegerkan dengan pernyataan Menteri Koordinator Bidang Politik, Hukum, dan Keamanan (Polhukam) Mahfud MD yang menyebut soal adanya transaksi gelap Rp300 triliun di Kementerian Keuangan (Kemenkeu).

Sekitar 460 pegawai Kemenkeu terlibat transaksi janggal dalam periode 2009 hingga 2023. Jumlah laporan tersebut mencapai 160 laporan.

Mahfud menyayangkan tidak adanya respons terkait hal ini. Padahal, laporan transaksi itu pun sudah disampaikan seluruhnya. Sebagai catatan, pada 2009, Sri Mulyani masih menjabat sebagai Menteri Keuangan di era Presiden SBY.

Angka transaksi 'gelap' tersebut secara akumulatif mendekati kekayaan salah satu orang terkaya di Indonesia.

Sebagai perbandingan, harta kekayaan bos Djarum, R. Budi Hartono mencapai US$24,5 miliar atau setara dengan Rp377,30 triliun (kurs Rp15.400/US$) dan Michael Hartono US$23,4 miliar atau setara dengan Rp360,36 triliun.

Dalam hitungan kasar, dengan nilai transaksi 'gelap' secara akumulatif sebesar Rp300 triliun dan sebanyak 460 pegawai yang diduga terlibat, itu berarti rata-rata seorang pegawai bisa mencatatkan transaksi Rp652,17 miliar.

Ilustrasi di atas hanya perbandingan umum untuk menunjukkan besaran transaksi 'gelap' yang disebut-sebut Mahfud MD. Transaksi tersebut lantas tidak serta merta mencerminkan total kekayaan pegawai yang dimaksud.

Baca berita selengkapnya berjudul 'Transaksi Rp 300 T! Hartono Lewat, Pegawai Pajak Lebih Tajir' hanya di cnbcindonesia.com

--",https://www.instagram.com/p/CpmIw-avOHW/,4835,237,0,230,160639,154186,0,0,0,5302,3.44
2023-03-10,640a9250799b9428d45334bf,photo,"Hartono bersaudara secara kumulatif mencatatkan penambahan kekayaan sebesar US$ 1,09 miliar atau setara dengan Rp 16,36 triliun dalam kurun waktu satu hari.

Melansir data Forbes Real Time Billionaire, secara spesifik kekayaan Budi Hartono meningkat US$ 555 juta dan Michael Hartono US$ 534 juta dalam sehari.

Hartono bersaudara secara kumulatif mencatatkan penambahan kekayaan sebesar US$ 1,09 miliar atau setara dengan Rp 16,36 triliun dalam kurun waktu satu hari.

Melansir data Forbes Real Time Billionaire, secara spesifik kekayaan Budi Hartono meningkat US$ 555 juta dan Michael Hartono US$ 534 juta dalam sehari.

Baca artikel lengkapnya berjudul 'Kekayaan Duo Hartono Melesat Rp 16,3T Dalam Sehari"" hanya di cnbcindonesia.com

#crazyrich",https://www.instagram.com/p/Cpl0IlspKyA/,4246,123,0,188,151989,143172,0,0,0,4557,3.18
